web_scraper_order,web_scraper_start_url,price,data,data2,data3,data4,data5,image,image2
"1775868895-1","https://www.marxfoods.com/meat/category/pork","","Kurobuta Pork Shoulder (Boston Butt)","1 case minimum, approx. 40 lbs","$629","/case","Quick View","https://www.marxfoods.com/images/kurobuta-pork-shoulder_kurobutaporkshoulder-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-2","https://www.marxfoods.com/meat/category/pork","$559","Iberico Pork Collars","1 case minimum, approx. 19 lbs","","/case","Quick View","https://www.marxfoods.com/images/Iberico-Pork-Collars_IbericoPorkCollars-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-3","https://www.marxfoods.com/meat/category/pork","$319","Iberico Pork Spare Ribs","1 case minimum, approx. 14 lbs","","/case","Quick View","https://www.marxfoods.com/images/Iberico-Spare-Ribs_IbericoPorkSpareRibs-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-4","https://www.marxfoods.com/meat/category/pork","$219","Iberico Pork Baby Back Ribs","1 case minimum, approx. 10 lbs","","/case","Quick View","https://www.marxfoods.com/images/Iberico-Baby-Back-Ribs_IbericoPorkBabyBackRibs-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-5","https://www.marxfoods.com/meat/category/pork","$659","Iberico Pork Secreto","1 case minimum, approx. 18 lbs","","/case","Quick View","https://www.marxfoods.com/images/Iberico-Pork-Secreto_IbericoPorkSecreto-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-6","https://www.marxfoods.com/meat/category/pork","$298","Iberico Pork Fat Back","1 case minimum, approx. 19 lbs","","/case","Quick View","https://www.marxfoods.com/images/Iberico-Back-Fat_IbericoBackFat-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-7","https://www.marxfoods.com/meat/category/pork","$287","Kurobuta Pork Cheek Meat","1 case minimum, approx. 15 lbs","","/case","Quick View","https://www.marxfoods.com/images/kurobuta-pork-cheek-meat_KurobutaPorkCheekMeat-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-8","https://www.marxfoods.com/meat/category/pork","$439","Iberico Pork Abanico","1 case minimum, approx. 20 lbs","","","Quick View","https://www.marxfoods.com/images/iberico-pork-abanico_ibericoporkabanico-1.jpg?resizeid=13&resizeh=200&resizew=200","https://www.marxfoods.com/images/Sale.png"
"1775868895-9","https://www.marxfoods.com/meat/category/pork","$259","Kurobuta Pork Tenderloin","1 case minimum, approx. 13 lbs","","","Quick View","https://www.marxfoods.com/images/kurobuta-pork-tenderloin_KurobutaPorkTenderloin-1.jpg?resizeid=13&resizeh=200&resizew=200","https://www.marxfoods.com/images/Sale.png"
"1775868895-10","https://www.marxfoods.com/meat/category/pork","","Iberico Pork Shoulder Eye Steaks (Presa)","1 case minimum, approx. 18 lbs","$679","/case","Quick View","https://www.marxfoods.com/images/Iberico-Shoulder-Eye-Steaks_IbericoPorkShoulderEyeSteaks-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-11","https://www.marxfoods.com/meat/category/pork","$349","Iberico Pork Bellies","1 case minimum, approx. 20 lbs","","/case","Quick View","https://www.marxfoods.com/images/Iberico-Pork-Bellies_IbericoPorkBellies-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-12","https://www.marxfoods.com/meat/category/pork","$628","Iberico Pork End Loins (Pluma)","1 case minimum, approx. 17 lbs","","/case","Quick View","https://www.marxfoods.com/images/Iberico-End-Loins_IbericoPorkEndLoins-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-13","https://www.marxfoods.com/meat/category/pork","$389","Suckling Pig, 9-12lb.","1 case minimum, 1 pig","","/case","Quick View","https://www.marxfoods.com/images/9-12lb-suckling-pig_912lbsucklingpig-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-14","https://www.marxfoods.com/meat/category/pork","$429","Kurobuta Pork Tomahawk Racks","1 case minimum, approx. 15 lbs","","/case","Quick View","https://www.marxfoods.com/images/kurobuta-tomahawk-racks_kurobutatomahawkracks-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-15","https://www.marxfoods.com/meat/category/pork","$299","Kurobuta (Berkshire) Ground Pork","1 case minimum, 18 lbs","","/case","Quick View","https://www.marxfoods.com/images/ground-kurobuta-pork_GroundKurobutaPork-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-16","https://www.marxfoods.com/meat/category/pork","$537","Iberico Pork Lagrimas","1 case minimum, approx. 21 lbs","","/case","Quick View","https://www.marxfoods.com/images/iberico-pork-lagrimas_ibericoporklagrimas-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-17","https://www.marxfoods.com/meat/category/pork","$439","Iberico Pork Belly Filet (Secreto Barriguera)","1 case minimum, approx. 20 lbs","","/case","Quick View","https://www.marxfoods.com/images/iberico-pork-belly-filet_ibericoporkbellyfilet-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-18","https://www.marxfoods.com/meat/category/pork","$279","Beeler’s Pure Pork Breakfast Sausage","1 case minimum, 16 lbs","","/case","Quick View","https://www.marxfoods.com/images/beelers-pure-pork-breakfast-sausage_beelerspureporkbreakfastsausage-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-19","https://www.marxfoods.com/meat/category/pork","","Kurobuta Pork Hams","4 half hams (approximately 30 lbs.)","$415","/case","Quick View","https://www.marxfoods.com/images/kurobuta-pork-hams_KurobutaPorkHams-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-20","https://www.marxfoods.com/meat/category/pork","$499","Iberico Pork Striploins","1 case minimum, approx. 22 lbs","","/case","Quick View","https://www.marxfoods.com/images/Iberico-Pork-Striploins_IbericoPorkStriploins-1.jpg?resizeid=13&resizeh=200&resizew=200","https://www.marxfoods.com/images/Best%20Seller.png"
"1775868895-21","https://www.marxfoods.com/meat/category/pork","$519","Iberico Pork Tenderloins","1 case minimum, approx. 19 lbs","","/case","Quick View","https://www.marxfoods.com/images/Iberico-Pork-Tenderloins_IbericoPorkTenderloins-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-22","https://www.marxfoods.com/meat/category/pork","$259","Kurobuta Hot Dogs","1 case minimum, 12 lbs","","/case","Quick View","https://www.marxfoods.com/images/kurobuta-hot-dogs_KurobutaHotDogs-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-23","https://www.marxfoods.com/meat/category/pork","$169","Kurobuta Pork Caul Fat","1 case minimum, 10 lbs","","/case","Quick View","https://www.marxfoods.com/images/kurobuta-caul-fat_kurobutacaulfat-1.jpg?resizeid=13&resizeh=200&resizew=200",""
"1775868895-24","https://www.marxfoods.com/meat/category/pork","$489","Kurobuta Slab Bacon","1 case minimum, approx. 24 lbs","","/case","Quick View","https://www.marxfoods.com/images/kurobuta-slab-bacon_kurobutaslabbacon-1.jpg?resizeid=13&resizeh=200&resizew=200",""
